Ledger Name,Under,Opening Balance,Opening Dr/Cr,GSTIN,State,City
Pari Shah 0272,Sundry Creditors,15813.01,Cr,,Kerala,Coimbatore
Shakti Retail 0273,Sundry Debtors,0,Dr,,Tamil Nadu,Surat
Ganga Wholesale 0274,Sundry Debtors,0,Dr,33FOFLS8651E1ZJ,Tamil Nadu,Hyderabad
Rahul Kumar 0275,Sundry Debtors,0,Dr,,Maharashtra,Ahmedabad
Nova Solutions 0276,Sundry Debtors,0,Dr,09ANZXL9631P2ZD,Uttar Pradesh,Bhopal
Pioneer Distributors 0277,Sundry Creditors,0,Dr,,West Bengal,Surat
Metro Retail 0278,Sundry Creditors,6140.22,Dr,,Punjab,Delhi
Pari Iyer 0279,Sundry Debtors,0,Cr,19SARWT8437A2Z7,West Bengal,Hyderabad
Bharat Enterprises 0280,Sundry Debtors,0,Cr,08HRXGQ6085I9Z4,Rajasthan,Chennai
Shakti Trading Co 0281,Sundry Creditors,0,Dr,29SHYPP8622L9ZJ,Karnataka,Jaipur
Sunrise Exports 0282,Sundry Debtors,0,Dr,24GZXCF5020O3ZR,Gujarat,Kolkata
Prime Trading Co 0283,Sundry Debtors,0,Cr,27DRHPY6146Y2ZT,Maharashtra,Mumbai
Sunrise Trading Co 0284,Sundry Creditors,0,Dr,19ZOWSQ9773D3Z1,West Bengal,Pune
Ganga Traders 0285,Sundry Debtors,0,Cr,24YYMVW0398P9ZJ,Gujarat,Bengaluru
Ananya Chowdhury 0286,Sundry Debtors,0,Cr,09ABJNA3154C4ZD,Uttar Pradesh,Indore
Bharat Industries 0287,Sundry Debtors,5046.0,Dr,24PCHHO0827B3ZG,Gujarat,Lucknow
Rohan Nair 0288,Sundry Debtors,0,Cr,,Karnataka,Pune
Ishaan Sharma 0289,Sundry Debtors,0,Cr,08RIJFX8006F9ZJ,Rajasthan,Delhi
Rohan Joshi 0290,Sundry Debtors,0,Cr,36SOUFY4822H6Z8,Telangana,Kochi
Nikhil Rao 0291,Sundry Creditors,78102.58,Cr,32UTJWQ6140J4ZE,Kerala,Lucknow
Sunrise & Sons 0292,Sundry Debtors,25431.3,Cr,,Gujarat,Surat
Diya Reddy 0293,Sundry Debtors,0,Cr,36IZOZC1941X2ZH,Telangana,Nagpur
Zenith Enterprises 0294,Sundry Creditors,0,Dr,09ZXSMG5140K7ZT,Uttar Pradesh,Bengaluru
Pooja Kulkarni 0295,Sundry Debtors,41173.27,Dr,,Rajasthan,Bengaluru
Prime Solutions 0296,Sundry Creditors,0,Cr,08XIKZD8612K6ZX,Rajasthan,Lucknow
Aadhya Shah 0297,Sundry Debtors,0,Cr,,Rajasthan,Bhopal
Aadhya Bose 0298,Sundry Debtors,0,Dr,36JLEMF4852L8ZP,Telangana,Lucknow
Arjun Pillai 0299,Sundry Debtors,71985.68,Cr,33BPLHG1458R6ZA,Tamil Nadu,Chennai
Prime Distributors 0300,Sundry Debtors,15351.63,Dr,27EATLT8125E3ZK,Maharashtra,Bhopal
Bharat Industries 0301,Sundry Debtors,71416.21,Dr,33DTQSG4069Z9ZS,Tamil Nadu,Pune
Global Distributors 0302,Sundry Debtors,0,Cr,32BODFH3199A6ZB,Kerala,Lucknow
Myra Bose 0303,Sundry Debtors,0,Dr,,Madhya Pradesh,Kolkata
Saanvi Nair 0304,Sundry Creditors,0,Dr,08SIJGX8105I1ZQ,Rajasthan,Pune
Ira Chowdhury 0305,Sundry Debtors,0,Dr,27AKJLS6408G2Z4,Maharashtra,Bhopal
Nova Trading Co 0306,Sundry Creditors,43057.94,Dr,29OYFDO1009C4ZB,Karnataka,Coimbatore
Royal Wholesale 0307,Sundry Debtors,0,Cr,23LSNOT8784K4ZK,Madhya Pradesh,Delhi
Star & Sons 0308,Sundry Debtors,0,Cr,,West Bengal,Delhi
Vertex Industries 0309,Sundry Debtors,0,Dr,27ULTPM9678U4ZE,Maharashtra,Delhi
Prime & Sons 0310,Sundry Debtors,0,Dr,32BOCNS8871J2Z1,Kerala,Ahmedabad
Rohan Das 0311,Sundry Creditors,68296.15,Cr,,West Bengal,Delhi
Aarav Kulkarni 0312,Sundry Creditors,0,Cr,07QEBXP2566E5Z6,Delhi,Coimbatore
Pioneer Traders 0313,Sundry Debtors,0,Dr,32FJDZU6342K9ZP,Kerala,Bhopal
Royal Wholesale 0314,Sundry Debtors,76287.78,Dr,,Uttar Pradesh,Lucknow
Aditya Reddy 0315,Sundry Debtors,0,Cr,08PHINW3958G6Z8,Rajasthan,Pune
Unity Traders 0316,Sundry Debtors,9777.49,Dr,24OQGGS2400O6Z0,Gujarat,Coimbatore
Vertex Agencies 0317,Sundry Debtors,0,Cr,08FMIQS4405N7ZG,Rajasthan,Ahmedabad
Everest Industries 0318,Sundry Debtors,82394.18,Cr,,West Bengal,Bhopal
Orbit Exports 0319,Sundry Debtors,0,Dr,,Kerala,Indore
Metro Wholesale 0320,Sundry Creditors,0,Cr,09LHXND2395V5ZA,Uttar Pradesh,Surat
Bharat Exports 0321,Sundry Creditors,0,Cr,23WSILU7914N5ZF,Madhya Pradesh,Kochi
Pooja Nair 0322,Sundry Debtors,0,Dr,,Telangana,Pune
Pioneer Distributors 0323,Sundry Creditors,0,Dr,03DCMJI4276E1ZV,Punjab,Chennai
Metro Retail 0324,Sundry Debtors,0,Cr,,Gujarat,Surat
Everest Retail 0325,Sundry Debtors,0,Cr,03LMDKK9396J7Z8,Punjab,Pune
Aadhya Mehta 0326,Sundry Debtors,0,Cr,33TCQYC7551K7ZA,Tamil Nadu,Chennai
Prime Distributors 0327,Sundry Debtors,0,Dr,,Maharashtra,Chennai
Unity Agencies 0328,Sundry Debtors,0,Cr,24YHPCV1611I4ZN,Gujarat,Kolkata
Nikhil Iyer 0329,Sundry Debtors,86210.12,Dr,03TKRWF6079L5Z6,Punjab,Coimbatore
Everest Solutions 0330,Sundry Creditors,0,Cr,,Tamil Nadu,Chennai
Apex Traders 0331,Sundry Debtors,78830.58,Dr,36WECYB0145S8ZS,Telangana,Bengaluru
Royal Agencies 0332,Sundry Debtors,0,Cr,03YSCZM0696P2ZS,Punjab,Mumbai
Royal Distributors 0333,Sundry Debtors,0,Dr,08BUPSS4806M6ZF,Rajasthan,Nagpur
Shakti Solutions 0334,Sundry Debtors,0,Cr,,Tamil Nadu,Surat
Orbit Distributors 0335,Sundry Debtors,0,Dr,19KHLRS1481A7ZS,West Bengal,Hyderabad
Zenith Agencies 0336,Sundry Debtors,0,Dr,,Madhya Pradesh,Jaipur
Rohan Patel 0337,Sundry Debtors,0,Cr,,Maharashtra,Chennai
Shakti Wholesale 0338,Sundry Debtors,0,Dr,23XIUFK4030J7Z5,Madhya Pradesh,Chennai
Crescent Solutions 0339,Sundry Debtors,0,Cr,08UJTXT6910R5ZY,Rajasthan,Bengaluru
Aarav Chowdhury 0340,Sundry Debtors,0,Dr,36QMEYB8296I1ZW,Telangana,Pune
Metro Agencies 0341,Sundry Creditors,0,Dr,03BOXDZ8784F6ZP,Punjab,Chennai
Apex & Sons 0342,Sundry Debtors,0,Cr,03OVAFQ4467K7ZN,Punjab,Jaipur
Unity & Sons 0343,Sundry Creditors,0,Cr,27XOPSL5502T3ZJ,Maharashtra,Nagpur
Metro Exports 0344,Sundry Debtors,39481.26,Cr,23AWOFT3022V9ZB,Madhya Pradesh,Lucknow
Star Exports 0345,Sundry Creditors,61129.86,Dr,19QPWKG9449S7ZB,West Bengal,Ahmedabad
Prime Industries 0346,Sundry Creditors,0,Dr,32YAJMK6095C9Z7,Kerala,Kochi
Ira Verma 0347,Sundry Debtors,72653.78,Cr,03MXPSM7245O6ZT,Punjab,Kolkata
Vihaan Pillai 0348,Sundry Debtors,29595.47,Cr,36OEBLN0525K3Z0,Telangana,Kochi
Unity Exports 0349,Sundry Debtors,47348.1,Cr,09KQKQN0754L5ZX,Uttar Pradesh,Hyderabad
Prime Traders 0350,Sundry Debtors,0,Cr,19QWJVB3681F6ZV,West Bengal,Coimbatore
Ananya Verma 0351,Sundry Debtors,0,Cr,,Tamil Nadu,Nagpur
Ira Nair 0352,Sundry Creditors,0,Dr,,Karnataka,Surat
Shakti Exports 0353,Sundry Debtors,1342.29,Dr,09KVUUK8759C1ZL,Uttar Pradesh,Nagpur
Aarav Das 0354,Sundry Debtors,0,Dr,08OFZHK9938U8Z2,Rajasthan,Ahmedabad
Metro Trading Co 0355,Sundry Creditors,0,Dr,,Kerala,Hyderabad
Crescent & Sons 0356,Sundry Debtors,51300.08,Dr,29RKTTI2398F3ZY,Karnataka,Jaipur
Nikhil Chowdhury 0357,Sundry Debtors,20360.19,Dr,27JNWAV2263C5ZC,Maharashtra,Ahmedabad
Ganga Distributors 0358,Sundry Debtors,0,Dr,29TCPOV2964J6Z6,Karnataka,Pune
Shakti Enterprises 0359,Sundry Debtors,0,Dr,24RGEQM3129O5ZZ,Gujarat,Delhi
Krishna Kulkarni 0360,Sundry Creditors,0,Cr,08UGTRG8401E1ZY,Rajasthan,Bengaluru
Royal Enterprises 0361,Sundry Debtors,0,Cr,,Uttar Pradesh,Jaipur
Amit Rao 0362,Sundry Debtors,11995.73,Cr,,Delhi,Jaipur
Global Industries 0363,Sundry Debtors,71711.21,Cr,27NKPDW1334I2Z5,Maharashtra,Ahmedabad
Deepak Singh 0364,Sundry Debtors,0,Dr,07CBWOX9304J9ZV,Delhi,Delhi
Deepak Sharma 0365,Sundry Debtors,46956.22,Dr,,Tamil Nadu,Surat
Global Exports 0366,Sundry Debtors,45635.65,Cr,36QYDYN0219N1ZR,Telangana,Lucknow
Deepak Kulkarni 0367,Sundry Debtors,0,Cr,19TMSGZ9063S3ZF,West Bengal,Coimbatore
Royal Retail 0368,Sundry Creditors,81270.58,Dr,07JXVYO4112N4ZO,Delhi,Lucknow
Everest Industries 0369,Sundry Creditors,0,Dr,,West Bengal,Ahmedabad
Meera Gupta 0370,Sundry Debtors,0,Cr,36APALD7362M9Z9,Telangana,Indore
Sai Kulkarni 0371,Sundry Creditors,0,Cr,36OMHPE3484J7ZW,Telangana,Coimbatore
Pooja Iyer 0372,Sundry Debtors,0,Cr,23JNWBU5627Z5ZP,Madhya Pradesh,Kochi
Star Industries 0373,Sundry Creditors,2410.71,Cr,03RSUGL1981Z7ZT,Punjab,Bengaluru
Crescent Retail 0374,Sundry Debtors,0,Dr,07TVOCZ8270I2Z6,Delhi,Mumbai
Global & Sons 0375,Sundry Debtors,0,Cr,08NIHXQ9699N1ZY,Rajasthan,Kolkata
Apex Enterprises 0376,Sundry Debtors,0,Cr,,West Bengal,Mumbai
Prime Enterprises 0377,Sundry Debtors,0,Dr,23LIAMP9332Y2ZP,Madhya Pradesh,Mumbai
Pioneer Solutions 0378,Sundry Debtors,0,Cr,33AVZDR0666H1ZC,Tamil Nadu,Bengaluru
Anjali Kumar 0379,Sundry Debtors,0,Dr,,Maharashtra,Indore
Shakti Wholesale 0380,Sundry Creditors,0,Dr,19XJBPF7994Q3ZZ,West Bengal,Nagpur
Aadhya Shah 0381,Sundry Debtors,0,Dr,09YWPIO2031B3ZJ,Uttar Pradesh,Chennai
Apex Industries 0382,Sundry Debtors,0,Dr,27RORMZ3363F7ZE,Maharashtra,Kochi
Nova & Sons 0383,Sundry Debtors,50393.21,Dr,23DYLDK3556B5Z0,Madhya Pradesh,Coimbatore
Kavya Verma 0384,Sundry Debtors,0,Cr,03UZMFG6025B2ZX,Punjab,Kolkata
Priya Shah 0385,Sundry Creditors,38738.98,Dr,29XALRN0928E6ZH,Karnataka,Kochi
Ananya Gupta 0386,Sundry Debtors,0,Dr,23BMNUR0625O7ZB,Madhya Pradesh,Ahmedabad
Deepak Rao 0387,Sundry Debtors,9642.46,Dr,07DPMWQ2581U1ZH,Delhi,Ahmedabad
Arjun Chowdhury 0388,Sundry Debtors,0,Cr,07VYEFQ2361W6ZK,Delhi,Mumbai
Aditya Joshi 0389,Sundry Debtors,0,Cr,,Rajasthan,Nagpur
Prime Trading Co 0390,Sundry Creditors,37377.3,Cr,24IPLTC3231C7ZZ,Gujarat,Indore
Orbit Trading Co 0391,Sundry Debtors,26160.31,Dr,29LHGHZ1060F8Z6,Karnataka,Pune
Everest Wholesale 0392,Sundry Debtors,0,Dr,03WQTMN0097B1ZQ,Punjab,Bengaluru
Diya Desai 0393,Sundry Debtors,0,Cr,29WSTUZ6866Z7ZF,Karnataka,Pune
Crescent Trading Co 0394,Sundry Debtors,58494.97,Cr,27MNNOK8509U7Z4,Maharashtra,Mumbai
Pooja Singh 0395,Sundry Debtors,0,Cr,33MPEWW2438R5ZC,Tamil Nadu,Indore
Bharat Wholesale 0396,Sundry Debtors,0,Cr,08YFTPZ0533R2Z2,Rajasthan,Coimbatore
Aarav Das 0397,Sundry Debtors,0,Cr,08KUHAJ3834J9ZD,Rajasthan,Ahmedabad
Sai Shah 0398,Sundry Debtors,0,Dr,03WXWNI1313M5ZV,Punjab,Hyderabad
Aditya Rao 0399,Sundry Debtors,0,Cr,36OFAFB4614E3ZZ,Telangana,Surat
Amit Shah 0400,Sundry Debtors,0,Dr,29IWYFQ7526F4ZV,Karnataka,Bengaluru
Nova Enterprises 0401,Sundry Debtors,64470.84,Dr,09PSDIH9233N4ZQ,Uttar Pradesh,Hyderabad
Metro Wholesale 0402,Sundry Debtors,0,Cr,,Karnataka,Chennai
Neha Nair 0403,Sundry Debtors,0,Dr,23RCHMA7973M9ZO,Madhya Pradesh,Indore
Pioneer & Sons 0404,Sundry Debtors,0,Dr,07ATHHA8237Z6ZS,Delhi,Surat
Ira Reddy 0405,Sundry Creditors,49173.72,Dr,19NJIHY1178V1ZM,West Bengal,Coimbatore
Myra Pillai 0406,Sundry Debtors,0,Cr,08RILYK3390K3ZY,Rajasthan,Ahmedabad
Prime Trading Co 0407,Sundry Debtors,0,Dr,29XLYUV8426Y8Z0,Karnataka,Indore
Pioneer Marketing 0408,Sundry Debtors,0,Cr,,Delhi,Hyderabad
Saanvi Kulkarni 0409,Sundry Debtors,0,Dr,08WMCQI1516L9ZK,Rajasthan,Indore
Pooja Chowdhury 0410,Sundry Creditors,0,Cr,32RJIKP6849F8ZU,Kerala,Bengaluru
Meera Menon 0411,Sundry Debtors,0,Dr,03VRHPX4639K9Z7,Punjab,Indore
Vivaan Verma 0412,Sundry Debtors,0,Dr,03POKGD7350G7Z8,Punjab,Coimbatore
Zenith Solutions 0413,Sundry Creditors,68462.35,Dr,09XOIXH1245R8ZN,Uttar Pradesh,Kochi
Global Traders 0414,Sundry Debtors,0,Dr,,West Bengal,Indore
Ishaan Sharma 0415,Sundry Debtors,51554.57,Cr,07TYLDO8199D8Z1,Delhi,Hyderabad
Aditya Rao 0416,Sundry Debtors,0,Dr,29KXGXL9650H4ZM,Karnataka,Bhopal
Unity Enterprises 0417,Sundry Creditors,53382.04,Cr,32SQWQN1899C1ZM,Kerala,Coimbatore
Shakti Agencies 0418,Sundry Creditors,62038.53,Cr,36KYHWD3515G1ZC,Telangana,Nagpur
Pioneer Retail 0419,Sundry Debtors,73841.36,Cr,,Kerala,Kolkata
Priya Desai 0420,Sundry Debtors,7046.14,Dr,36XKRSF1202S4ZQ,Telangana,Pune
Nikhil Nair 0421,Sundry Debtors,0,Dr,07JYSKC2274Q3ZV,Delhi,Hyderabad
Riya Das 0422,Sundry Creditors,0,Dr,03NLPUV5067B9Z5,Punjab,Coimbatore
Zenith Exports 0423,Sundry Debtors,0,Dr,23DBMUU7881A5ZY,Madhya Pradesh,Coimbatore
Krishna Kumar 0424,Sundry Creditors,0,Dr,,Delhi,Ahmedabad
Metro Traders 0425,Sundry Debtors,65675.55,Cr,08SLVIT8993O4ZZ,Rajasthan,Bengaluru
Bharat Solutions 0426,Sundry Debtors,0,Cr,08XWOWS8821R4ZP,Rajasthan,Surat
Everest Traders 0427,Sundry Debtors,0,Dr,09OIJJW4527U7ZR,Uttar Pradesh,Mumbai
Nova Marketing 0428,Sundry Debtors,0,Cr,24SIQDL4252Y9ZM,Gujarat,Kolkata
Shakti & Sons 0429,Sundry Debtors,0,Cr,23DQEED2454Y5ZE,Madhya Pradesh,Nagpur
Vihaan Gupta 0430,Sundry Debtors,0,Cr,29DKHAG4385D1Z4,Karnataka,Kochi
Crescent Wholesale 0431,Sundry Creditors,0,Cr,36VDPBJ8021X1ZT,Telangana,Delhi
Ishaan Sharma 0432,Sundry Debtors,0,Cr,23NWECU9020S5ZI,Madhya Pradesh,Kochi
Rahul Menon 0433,Sundry Debtors,40377.34,Cr,29GGKFE6453O8Z6,Karnataka,Kochi
Deepak Desai 0434,Sundry Debtors,0,Cr,27JRGIF8390N3Z9,Maharashtra,Indore
Nikhil Menon 0435,Sundry Creditors,0,Cr,24EBEVZ4801I4ZH,Gujarat,Pune
Global Wholesale 0436,Sundry Creditors,0,Dr,,Telangana,Bhopal
Aarav Singh 0437,Sundry Creditors,0,Cr,19FCEVU7398D9ZJ,West Bengal,Surat
Bharat Trading Co 0438,Sundry Debtors,0,Dr,07NZMEN6809Y6Z0,Delhi,Kochi
Nova Agencies 0439,Sundry Debtors,0,Cr,03NDIUG8984J1Z1,Punjab,Delhi
Meera Bose 0440,Sundry Debtors,0,Dr,19GTANT8509A5ZL,West Bengal,Jaipur
Royal Distributors 0441,Sundry Debtors,0,Dr,23REYZN6043U6ZL,Madhya Pradesh,Nagpur
Aadhya Chowdhury 0442,Sundry Debtors,79872.44,Cr,27ULVXE6851P2Z3,Maharashtra,Nagpur
Neha Sharma 0443,Sundry Creditors,0,Dr,08MVKVC6610O8ZZ,Rajasthan,Kolkata
Apex Industries 0444,Sundry Creditors,37563.33,Dr,07NYCVT0101T5ZW,Delhi,Surat
Bharat Exports 0445,Sundry Debtors,0,Cr,,Karnataka,Hyderabad
Nikhil Kumar 0446,Sundry Creditors,0,Dr,,Kerala,Bengaluru
Zenith Solutions 0447,Sundry Creditors,0,Cr,,West Bengal,Coimbatore
Royal Traders 0448,Sundry Debtors,25639.6,Dr,19GRSMK7354P8ZD,West Bengal,Ahmedabad
Krishna Iyer 0449,Sundry Creditors,82273.38,Dr,33ORXQU8036B9Z0,Tamil Nadu,Delhi
Aditya Pillai 0450,Sundry Debtors,0,Dr,09SRXGU4604H7Z5,Uttar Pradesh,Nagpur
Aadhya Chowdhury 0451,Sundry Debtors,0,Cr,24ETFUO9700O7Z9,Gujarat,Surat
Vertex Enterprises 0452,Sundry Debtors,0,Cr,,West Bengal,Coimbatore
Nikhil Pillai 0453,Sundry Debtors,0,Dr,,Delhi,Chennai
Apex Agencies 0454,Sundry Debtors,0,Cr,09IPCSB5383W5Z8,Uttar Pradesh,Jaipur
Metro Exports 0455,Sundry Creditors,0,Dr,19ZBMDN1203Z4Z8,West Bengal,Coimbatore
Pioneer Marketing 0456,Sundry Debtors,68705.83,Dr,07SRKNO5420H1Z7,Delhi,Kolkata
Apex Distributors 0457,Sundry Debtors,28795.71,Cr,07HAPUL4935P7ZU,Delhi,Indore
Star Retail 0458,Sundry Debtors,0,Cr,24JVDVH6706A4ZQ,Gujarat,Pune
Unity & Sons 0459,Sundry Debtors,0,Dr,24FXCEK6635I3Z0,Gujarat,Kochi
Metro Agencies 0460,Sundry Debtors,0,Cr,23GJDDU6331L3ZN,Madhya Pradesh,Hyderabad
Krishna Iyer 0461,Sundry Debtors,0,Cr,,Maharashtra,Coimbatore
Shakti & Sons 0462,Sundry Debtors,0,Cr,,Uttar Pradesh,Lucknow
Amit Chowdhury 0463,Sundry Debtors,37381.32,Dr,,Telangana,Kolkata
Kavya Pillai 0464,Sundry Debtors,16850.75,Cr,32KYKAD6210M7ZF,Kerala,Coimbatore
Global Wholesale 0465,Sundry Debtors,0,Dr,29ZYKJB2281T1ZV,Karnataka,Jaipur
Ganga Marketing 0466,Sundry Creditors,0,Cr,09IKEXW2201G5ZN,Uttar Pradesh,Mumbai
Vertex Retail 0467,Sundry Debtors,75083.37,Dr,03CRHOM6285Y3ZS,Punjab,Jaipur
Nova Marketing 0468,Sundry Debtors,14475.52,Dr,,Uttar Pradesh,Pune
Royal Industries 0469,Sundry Creditors,78559.26,Cr,,Punjab,Lucknow
Global Enterprises 0470,Sundry Creditors,0,Dr,,Madhya Pradesh,Ahmedabad
Bharat Agencies 0471,Sundry Debtors,0,Cr,32PFMSQ1603Q1Z7,Kerala,Kolkata
Vihaan Nair 0472,Sundry Debtors,0,Cr,32ZZAAM4692V7ZL,Kerala,Pune
Metro Solutions 0473,Sundry Debtors,16556.86,Cr,,Punjab,Jaipur
Meera Reddy 0474,Sundry Creditors,0,Dr,,Telangana,Pune
Vertex Wholesale 0475,Sundry Debtors,0,Cr,19CJCRT1594I4ZI,West Bengal,Hyderabad
Riya Bose 0476,Sundry Debtors,0,Cr,23ZIUPB9341Y8Z6,Madhya Pradesh,Ahmedabad
Riya Desai 0477,Sundry Creditors,71417.45,Dr,,Maharashtra,Coimbatore
Deepak Reddy 0478,Sundry Creditors,31720.9,Dr,19MTPHS1884T1ZF,West Bengal,Delhi
Apex Distributors 0479,Sundry Debtors,62794.83,Cr,03SQWUW9388V8Z2,Punjab,Delhi
Everest Agencies 0480,Sundry Debtors,0,Dr,33ADVBI5503J6ZV,Tamil Nadu,Lucknow
Apex & Sons 0481,Sundry Creditors,0,Dr,29FLOKQ5702O7ZP,Karnataka,Mumbai
Saanvi Mehta 0482,Sundry Debtors,0,Dr,,Maharashtra,Kochi
Star Trading Co 0483,Sundry Debtors,0,Cr,32ORZRP2646M7ZO,Kerala,Lucknow
Orbit Agencies 0484,Sundry Debtors,0,Dr,,Maharashtra,Mumbai
Global Marketing 0485,Sundry Debtors,47513.89,Cr,07CRHJU7110U1ZG,Delhi,Indore
Metro Enterprises 0486,Sundry Debtors,0,Dr,,Delhi,Coimbatore
Global Distributors 0487,Sundry Debtors,0,Cr,19QDDBL3371J3ZY,West Bengal,Bhopal
Everest Distributors 0488,Sundry Creditors,0,Dr,33PYUDR8139R7ZU,Tamil Nadu,Nagpur
Global Trading Co 0489,Sundry Debtors,0,Cr,24AYSVI9700D5Z3,Gujarat,Bhopal
Myra Reddy 0490,Sundry Debtors,0,Dr,,Tamil Nadu,Kochi
Vertex & Sons 0491,Sundry Debtors,0,Dr,19SGXMF9403K2ZM,West Bengal,Coimbatore
Global Trading Co 0492,Sundry Creditors,0,Dr,03XILYR7454N6Z4,Punjab,Pune
Crescent Marketing 0493,Sundry Debtors,0,Dr,24MFTAQ1741T7ZM,Gujarat,Kolkata
Diya Joshi 0494,Sundry Debtors,0,Cr,33ITMBX5383P5ZU,Tamil Nadu,Pune
Vertex Exports 0495,Sundry Debtors,52808.48,Dr,29IUKFS4238Z9ZU,Karnataka,Bengaluru
Crescent Retail 0496,Sundry Creditors,0,Cr,08DYEWV8262C5Z3,Rajasthan,Chennai
Prime Exports 0497,Sundry Debtors,0,Cr,23DHTFE9960B2Z3,Madhya Pradesh,Lucknow
Royal Marketing 0498,Sundry Debtors,76473.42,Cr,27OLKZQ4253F8Z1,Maharashtra,Bengaluru
Prime Exports 0499,Sundry Creditors,7023.27,Dr,36JSFMF7634G8ZF,Telangana,Indore
Orbit & Sons 0500,Sundry Debtors,0,Cr,07VBRPN1104J6Z9,Delhi,Pune
Amit Kumar 0501,Sundry Debtors,59860.35,Dr,23TZNHS8998B8ZI,Madhya Pradesh,Coimbatore
Crescent Retail 0502,Sundry Debtors,0,Cr,,Tamil Nadu,Lucknow
Riya Kumar 0503,Sundry Debtors,0,Cr,27HCKQT8811G8Z8,Maharashtra,Nagpur
Reyansh Pillai 0504,Sundry Debtors,0,Dr,09HKMWJ1204B1ZP,Uttar Pradesh,Jaipur
Ganga & Sons 0505,Sundry Debtors,55943.87,Cr,32NIKDS1073Q9ZW,Kerala,Hyderabad
Kavya Nair 0506,Sundry Creditors,65372.01,Dr,33UZHFD1178V8ZU,Tamil Nadu,Hyderabad
Sneha Iyer 0507,Sundry Debtors,54408.14,Dr,27ZKORK3292K8ZS,Maharashtra,Nagpur
Pari Patel 0508,Sundry Creditors,0,Cr,29EJYXV5190M6ZX,Karnataka,Coimbatore
Ira Shah 0509,Sundry Debtors,0,Cr,27QTHNK5985P6ZN,Maharashtra,Kolkata
Rohan Iyer 0510,Sundry Debtors,0,Dr,19DYMTX0254Q5ZB,West Bengal,Surat
Aditya Verma 0511,Sundry Debtors,40737.17,Dr,07CKVZS9073L8ZI,Delhi,Hyderabad
Royal Industries 0512,Sundry Debtors,52287.14,Dr,36GMEIT4191R8ZE,Telangana,Jaipur
Global Exports 0513,Sundry Creditors,43726.44,Dr,07JFFLJ5841I5Z0,Delhi,Mumbai
Amit Joshi 0514,Sundry Debtors,0,Dr,29QPZMF9572D3ZW,Karnataka,Mumbai
Pioneer Wholesale 0515,Sundry Debtors,0,Dr,23IJMZD8369D5ZF,Madhya Pradesh,Delhi
Anjali Sharma 0516,Sundry Creditors,0,Dr,24TLJPD5056B8ZC,Gujarat,Kochi
Pooja Singh 0517,Sundry Creditors,0,Cr,07XXBYA3895Q7Z1,Delhi,Bhopal
Crescent Exports 0518,Sundry Debtors,0,Dr,24CSOEE7586T6Z8,Gujarat,Nagpur
Shakti Retail 0519,Sundry Debtors,0,Dr,19LILWP8283R2Z2,West Bengal,Kochi
Sunrise Industries 0520,Sundry Creditors,0,Cr,09QCUMW3745W7ZL,Uttar Pradesh,Lucknow
Krishna Sharma 0521,Sundry Debtors,0,Dr,07MPPMS3152H9ZK,Delhi,Chennai
Unity Agencies 0522,Sundry Creditors,0,Cr,03WIKDE2400P1ZF,Punjab,Bhopal
Nova Solutions 0523,Sundry Debtors,0,Cr,32HRXOC9130A6ZS,Kerala,Jaipur
Apex Marketing 0524,Sundry Debtors,71243.4,Cr,32DVHUY1648Y1ZF,Kerala,Kolkata
Sunrise Exports 0525,Sundry Debtors,0,Dr,07MSRTA9846Y3ZN,Delhi,Surat
Bharat Industries 0526,Sundry Debtors,0,Dr,19DGJVK4127M4ZV,West Bengal,Pune
Pari Nair 0527,Sundry Debtors,0,Dr,36GGJAO8035J3ZX,Telangana,Ahmedabad
Shakti Distributors 0528,Sundry Creditors,0,Dr,36RGRTE6866D7ZQ,Telangana,Mumbai
Apex Trading Co 0529,Sundry Creditors,0,Dr,36OKZBC1448A4ZT,Telangana,Bhopal
Royal Traders 0530,Sundry Creditors,79399.07,Dr,23KGWKX9376E4ZT,Madhya Pradesh,Jaipur
Bharat Retail 0531,Sundry Creditors,0,Dr,09VFHST5996B4ZJ,Uttar Pradesh,Jaipur
Everest Agencies 0532,Sundry Debtors,0,Dr,09UKYSC0711V8Z0,Uttar Pradesh,Indore
Unity Industries 0533,Sundry Creditors,0,Dr,09ELWNP4688I4ZW,Uttar Pradesh,Bengaluru
Ira Shah 0534,Sundry Creditors,0,Cr,,Karnataka,Mumbai
Rahul Chowdhury 0535,Sundry Creditors,0,Dr,33KAYRQ3412N3ZF,Tamil Nadu,Bengaluru
Rohan Reddy 0536,Sundry Debtors,0,Dr,33PLIKW5565K1ZC,Tamil Nadu,Kolkata
Everest Marketing 0537,Sundry Creditors,0,Cr,19WLGEV4439D8ZP,West Bengal,Coimbatore
Aarav Pillai 0538,Sundry Creditors,0,Cr,08RTTKH3133M9Z4,Rajasthan,Hyderabad
Prime & Sons 0539,Sundry Creditors,73152.44,Cr,29TZWMG1235Z5ZV,Karnataka,Pune
Vihaan Nair 0540,Sundry Debtors,0,Dr,09UPUZY0852P7Z6,Uttar Pradesh,Indore
Neha Shah 0541,Sundry Creditors,0,Dr,19DGSJN2097P4ZW,West Bengal,Pune
Shakti Wholesale 0542,Sundry Debtors,0,Dr,08XAQXU5086D4ZK,Rajasthan,Kolkata
Everest Industries 0543,Sundry Debtors,0,Dr,27VYVEG1815B3Z2,Maharashtra,Coimbatore
